,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
455,"Donald Trump’s presidential resume:
Political experience - none.                          Knowledge of Constitution… https://t.co/SHAuk7OdMs",Nancy Tomz,1895,117,"Princeton, Texas",False,1,1,2020-01-23 00:01:59
456,"RT @cjtruth: GREAT NEWS: Donald Trump will become first president to speak live and in person at March for Life this Friday.

The other sid…","...having done all, STAND 🙏 ✝ 🇺🇸",3790,1331,"New York, USA",False,0,235,2020-01-23 00:01:57
457,"RT @PalmerReport: Donald Trump's day so far:

- Confesses that he's sitting on incriminating evidence against himself
- The idiot just scre…",Parene Doubt,289250,2962,"Las Vegas, NV",False,0,1581,2020-01-23 00:01:57
458,"RT @TruthProf99: Thank you to The Dream Team of Patriotic Truth Warriors, laying out amazing arguments for the removal of Donald J. Trump.…",#ImpeachedTrump Blocking witnesses equals GUILT,25661,13953,,False,0,7,2020-01-23 00:01:57
459,"RT @KatheleenMitro: Donald Trump is losing his impeachment trial in the only way that matters https://t.co/QdzQRkzwZy via @PalmerReport 
ex…",Jo Ann,110297,1317,Los Angeles,False,0,3,2020-01-23 00:01:56
460,"RT @CraigRozniecki: Dems: ""We're impeaching Donald J. Trump for obstructing Congress.""

Reps: ""He didn't obstruct Congress. Prove that he o…",Amzieaa,75869,1283,,False,0,842,2020-01-23 00:01:56
461,"RT @NickFury2020: This isn't a guy who loves the military. #WednesdayThoughts

Donald Trump downplays service members' concussion injuries…",Bruce Banner 2020💥,28099,2264,,False,0,27,2020-01-23 00:01:55
462,RT @stmc112: Smart Kid!  Tells America like it is.   Donald Trump loves America and Everyone who lives in America should love it too!,Rob Koontz,9575,4090,,False,0,227,2020-01-23 00:01:55
463,"RT @NorthBelle4: DONALD TRUMP IS A WHITE SUPREMACIST AND NAZI.

HE HAS ALWAYS BEEN A WHITE SUPREMACIST AND NAZI.",Linda Taibi,131647,3863,Oregon,False,0,3,2020-01-23 00:01:55
464,"RT @HenryFennell17: @SethAbramson The President talked about ending sanctions from day one, and every thoughtful American is left to wonder…",D Flood,266639,2000,,False,0,7,2020-01-23 00:01:55
465,"RT @ReneeCarrollAZ: Every💕Heartbeat💕Matters

President Donald Trump Declares January 22nd ""National Sanctity of Human Life Day""
https://t.c…",Cult45 Suporter Text Trump 88022 🇺🇸,60371,1316,,False,0,148,2020-01-23 00:01:55
466,RT @brb_covfefe: Trump Fights Back On Obama-Era Rules – Donald Reaffirms Students’ Constitutional Right To Pray In Schools https://t.co/NYs…,🌺🌹🇺🇸💉DyanP🇺🇸🌺🌹,192529,53379,New York,False,0,167,2020-01-23 00:01:54
467,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Waiting for Godot,118687,3727,,False,0,2655,2020-01-23 00:01:54
